render_id,canonical_name,category,category_code,policy,original_v5_shift,candidate_shift,difference_from_v5,face_x_after,face_safe,new_edge_clipping,has_new_edge_clipping,tracking_confidence
c082,丽塔,A 普通直立/紧凑 (丽塔),A,B,-34.82,-34.82,0.0,725.18,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9644
c082,丽塔,A 普通直立/紧凑 (丽塔),A,C,-34.82,-32.59,2.23,727.41,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9644
c082,丽塔,A 普通直立/紧凑 (丽塔),A,D,-34.82,-29.22,5.6,730.78,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9644
c082,丽塔,A 普通直立/紧凑 (丽塔),A,E,-34.82,-34.14,0.68,725.86,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9644
c120,N102,A 普通直立/紧凑 (N102),A,A,0.08,0.0,-0.08,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c120,N102,A 普通直立/紧凑 (N102),A,B,0.08,0.08,0.0,760.08,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c120,N102,A 普通直立/紧凑 (N102),A,C,0.08,0.08,0.0,760.08,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c120,N102,A 普通直立/紧凑 (N102),A,D,0.08,0.08,0.0,760.08,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c120,N102,A 普通直立/紧凑 (N102),A,E,0.08,0.08,0.0,760.08,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9932
c172,艾德米,A 普通直立/紧凑 (艾德米),A,A,64.65,0.0,-64.65,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9763
c172,艾德米,A 普通直立/紧凑 (艾德米),A,B,64.65,64.65,0.0,824.65,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9763
c172,艾德米,A 普通直立/紧凑 (艾德米),A,C,64.65,39.55,-25.1,799.55,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9763
c172,艾德米,A 普通直立/紧凑 (艾德米),A,D,64.65,31.93,-32.72,791.93,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9763
c172,艾德米,A 普通直立/紧凑 (艾德米),A,E,64.65,46.43,-18.22,806.43,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9763
c170,普丽瓦蒂,B 长发 (普丽瓦蒂),B,A,39.94,0.0,-39.94,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9591
c170,普丽瓦蒂,B 长发 (普丽瓦蒂),B,B,39.94,39.94,0.0,799.94,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9591
c170,普丽瓦蒂,B 长发 (普丽瓦蒂),B,C,39.94,35.21,-4.73,795.21,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9591
c170,普丽瓦蒂,B 长发 (普丽瓦蒂),B,D,39.94,30.47,-9.47,790.47,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9591
c170,普丽瓦蒂,B 长发 (普丽瓦蒂),B,E,39.94,37.95,-1.99,797.95,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9591
c221,长发公主,B 长发 (长发公主),B,A,92.26,0.0,-92.26,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.974
c221,长发公主,B 长发 (长发公主),B,B,92.26,92.26,0.0,852.26,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.974
c221,长发公主,B 长发 (长发公主),B,C,92.26,39.97,-52.29,799.97,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.974
c221,长发公主,B 长发 (长发公主),B,D,92.26,32.0,-60.26,792.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.974
c221,长发公主,B 长发 (长发公主),B,E,92.26,47.84,-44.42,807.84,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.974
c270,布兰儿,B 长发 (布兰儿),B,A,35.63,0.0,-35.63,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9419
c270,布兰儿,B 长发 (布兰儿),B,B,35.63,35.63,0.0,795.63,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9419
c270,布兰儿,B 长发 (布兰儿),B,C,35.63,33.07,-2.56,793.07,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9419
c270,布兰儿,B 长发 (布兰儿),B,D,35.63,29.47,-6.16,789.47,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9419
c270,布兰儿,B 长发 (布兰儿),B,E,35.63,34.8,-0.83,794.8,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9419
c010_02,拉毗,B 长发 (拉毗·白色约定),B,A,64.26,0.0,-64.26,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9793
