render_id,resource_id,canonical_name,character_name_en,costume_id,costume_name,is_costume,category_code,category,scale,body_axis_x,visual_center_x,bootstrap_width,trusted_width,bootstrap_reliable,bootstrap_support_rows,bootstrap_clean_rows,bootstrap_clean_fraction,bootstrap_half_balance,bootstrap_contaminated_rows,confidence,path_coverage,path_continuity,path_ambiguity,width_reliability,terminated_early,max_vertical_gap,max_untrusted_span,raw_shift_x,applied_shift_x,clamped,face_before,face_after,face_safe,off_artwork_card_bbox,on_artwork_card_bbox,off_clipping,on_clipping,new_edge_clipping,has_new_edge_clipping,clipping_regressions,clipping_review,anchor_kind,portrait_width,portrait_height,face_point_portrait,shift_x,shift_y,reason,over_40px
c170,170,普丽瓦蒂,Privaty,0,,False,B,B 长发 (普丽瓦蒂),0.8649,1182.0,1182.0,509.0,460.87,True,170,585,0.9606,0.7747,24,0.9591,1.0,0.957,0.9777,1.0,False,0.0,0.0,57.85,39.94,False,"[760.0, 550.0]","[799.94, 550.0]",True,"[-224.82, 164.94, 1456.57, 3139.37]","[-184.87, 164.94, 1496.51, 3139.37]","{'left': True, 'top': False, 'right': False, 'bottom': True}","{'left': True, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,2072,3567,"[1202.6332026933483, 509.20574245968965]",39.94,-0.0,ok,False
c221,221,长发公主,Rapunzel,0,,False,B,B 长发 (长发公主),1.0713,1439.5,1439.5,1887.0,1115.37,True,544,544,1.0,0.8357,0,0.974,1.0,0.9772,0.9811,1.0,False,0.0,0.0,131.55,92.26,False,"[760.0, 550.0]","[852.26, 550.0]",True,"[-805.14, -172.69, 2432.36, 3501.92]","[-712.89, -172.69, 2524.62, 3501.92]","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,3150,3558,"[1524.9583129126008, 738.5828865816002]",92.26,-0.0,ok,True
c270,270,布兰儿,Blanc,0,,False,B,B 长发 (布兰儿),1.1768,1347.5,1347.5,414.0,358.89,True,315,571,1.0,0.6894,0,0.9419,0.9861,0.9366,0.9867,1.0,True,0.0,0.0,52.54,35.63,False,"[760.0, 550.0]","[795.63, 550.0]",True,"[-763.0, -171.52, 2172.01, 3967.38]","[-727.37, -171.52, 2207.64, 3967.38]","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,2622,3645,"[1358.1569218915397, 677.1080409892293]",35.63,-0.0,ok,False
c010_02,10,拉毗,Rapi,20001,白色约定,True,B,B 长发 (拉毗·白色约定),3.4394,223.0,223.0,134.5,216.87,True,58,147,0.9423,0.69,7,0.9793,1.0,0.9696,0.9984,1.0,False,0.0,0.0,91.15,64.26,False,"[760.0, 550.0]","[824.26, 550.0]",True,"[-3.11, 165.16, 1352.03, 3123.08]","[61.15, 165.16, 1416.29, 3123.08]","{'left': True, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,426,892,"[237.87043345443783, 127.89138063277824]",64.26,-0.0,ok,True
c016,16,拉毗：小红帽,Rapi: Red Hood,0,,False,C,C 长枪/背包 (拉毗：小红帽),0.719,1103.5,1103.5,587.0,1074.6,True,288,631,1.0,0.7227,0,0.9805,1.0,0.9747,0.9948,1.0,False,0.0,0.0,-176.29,-124.46,False,"[860.0, 610.0]","[735.54, 610.0]",True,"[228.94, 288.86, 1592.8, 2844.02]","[104.48, 288.86, 1468.34, 2844.02]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,2025,3682,"[941.7504461854451, 510.6821509753304]",-124.46,-0.0,ok,True
c471,471,白雪公主：重型武装,Snow White: Heavy Arms,0,,False,C,C 长枪/背包 (白雪公主：重型武装),1.2949,1440.0,1440.0,1749.0,1614.47,True,343,343,0.6114,0.6856,218,0.9527,1.0,0.9765,0.9458,1.0,False,0.0,0.0,125.56,86.12,False,"[742.0, 540.0]","[828.12, 540.0]",True,"[-1107.32, -914.25, 1930.48, 3514.26]","[-1021.2, -914.25, 2016.6, 3514.26]","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,2474,3548,"[1492.174684041518, 1187.070841410796]",86.12,-0.0,ok,True
c100,100,拉普拉斯,Laplace,0,,False,C,C 长枪/背包 (拉普拉斯),0.7947,932.5,932.5,925.5,1436.5,True,414,584,1.0,0.724,0,0.9932,1.0,0.9897,0.9999,1.0,False,0.0,0.0,16.36,11.7,False,"[760.0, 550.0]","[771.7, 550.0]",True,"[93.42, 213.15, 1578.76, 2948.59]","[105.12, 213.15, 1590.46, 2948.59]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1997,3570,"[902.7547679692336, 487.85933345620106]",11.7,-0.0,ok,False
c102,102,麦斯威尔,Maxwell,0,,False,C,C 长枪/背包 (麦斯威尔),1.1064,1384.77,1384.77,438.0,239.84,True,349,546,0.9207,0.6837,47,0.6844,1.0,0.8358,0.9848,0.9123,False,0.0,603.0,172.52,85.02,False,"[760.0, 550.0]","[845.02, 550.0]",True,"[-833.77, 156.01, 2655.71, 3957.49]","[-748.76, 156.01, 2740.72, 3957.49]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,3282,3564,"[1504.5464446111082, 420.10859489845143]",85.02,-0.0,ok,True
c220,220,白雪公主,Snow White,0,,False,C,C 长枪/背包 (白雪公主),1.4043,1893.0,1893.0,443.0,1726.93,True,184,460,1.0,0.5619,0,0.8951,1.0,0.9064,0.9856,0.9406,False,0.0,385.0,168.23,108.42,False,"[760.0, 550.0]","[868.42, 550.0]",True,"[-1936.73, 3.23, 2840.76, 3980.26]","[-1828.31, 3.23, 2949.18, 3980.26]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,3530,2960,"[1984.3101464930824, 453.3488985697709]",108.42,-0.0,ok,True
c330,330,皇冠,Crown,0,,False,D,D 机械翼/披风 (皇冠),3.8161,485.5,485.5,163.0,512.91,True,65,91,0.6364,0.5633,29,0.9792,1.0,0.9781,0.9888,1.0,False,0.0,0.0,-103.04,-72.64,False,"[760.0, 550.0]","[687.36, 550.0]",True,"[-888.6, 116.13, 2019.24, 3371.22]","[-961.24, 116.13, 1946.59, 3371.22]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,794,885,"[448.01620447231835, 129.69669353779705]",-72.64,-0.0,ok,True
